Korean	Romanization	Romanization(No vowel)	English (No vowel)	English	Fuzzy Score
점프	jeom-peu	jmp	jmp	jump	100
피크	pi-keu	pk	pk	peak	100
핸드백	haen-deu-baeg	hndbg	hndbg	handbag	100
티아라	ti-a-ra	tr	tr	tiara	100
파이프	pa-i-peu	pp	pp	pipe	100
사유리	sa-yu-ri	syr	syr	sayuri	100
렌트	ren-teu	rnt	rnt	rent	100
비키니	bi-ki-ni	bkn	bkn	bikini	100
사이렌	sa-i-ren	srn	srn	siren	100
보쌈	bo-ssam	bssm	bssm	bossam	100
토스트	to-seu-teu	tst	tst	toast	100
감자탕	gam-ja-tang	gmjtng	gmjtng	gamjatang	100
이맘	i-mam	mm	mm	imam	100
호프	ho-peu	hp	hp	hope	100
화투	hwa-tu	hwt	hwt	hwatu	100
미디어	mi-di-eo	md	md	media	100
요요	yo-yo	yy	yy	yo-yo	100
미니	mi-ni	mn	mn	mini	100
모드	mo-deu	md	md	mode	100
게이트	ge-i-teu	gt	gt	gate	100
수프	su-peu	sp	sp	soup	100
후드	hu-deu	hd	hd	hood	100
가야금	ga-ya-geum	gygm	gygm	gayageum	100
스트라이크	seu-teu-ra-i-keu	strk	strk	strike	100
에고	e-go	g	g	ego	100
헤드	he-deu	hd	hd	head	100
넌센스	neon-sen-seu	nnsns	nnsns	nonsense	100
팥빙수	pat-bing-su	ptbngs	ptbngs	patbingsu	100
장구	jang-gu	jngg	jngg	janggu	100
로프	ro-peu	rp	rp	rope	100
이온	i-on	n	n	ion	100
바리스타	ba-ri-seu-ta	brst	brst	barista	100
덤프	deom-peu	dmp	dmp	dump	100
버그	beo-geu	bg	bg	bug	100
프리미엄	peu-ri-mi-eom	prmm	prmm	premium	100
파전	pa-jeon	pjn	pjn	pajeon	100
세레나데	se-re-na-de	srnd	srnd	serenade	100
배드민턴	bae-deu-min-teon	bdmntn	bdmntn	badminton	100
매트	mae-teu	mt	mt	mat	100
호스트	ho-seu-teu	hst	hst	host	100
효연	hyo-yeon	hyyn	hyyn	hyoyeon	100
저스틴	jeo-seu-tin	jstn	jstn	justin	100
수제비	su-je-bi	sjb	sjb	sujebi	100
파라다이스	pa-ra-da-i-seu	prds	prds	paradise	100
네온	ne-on	nn	nn	neon	100
브라	beu-ra	br	br	bra	100
퍼레이드	peo-re-i-deu	prd	prd	parade	100
그랜드	geu-raen-deu	grnd	grnd	grand	100
장조림	jang-jo-rim	jngjrm	jngjrm	jangjorim	100
쿠루	ku-ru	kr	kr	kuru	100
스트림	seu-teu-rim	strm	strm	stream	100
템포	tem-po	tmp	tmp	tempo	100
키위	ki-wi	kw	kw	kiwi	100
수트	su-teu	st	st	suit	100
태그	tae-geu	tg	tg	tag	100
키트	ki-teu	kt	kt	kit	100
거문고	geo-mun-go	gmng	gmng	geomungo	100
재스민	jae-seu-min	jsmn	jsmn	jasmine	100
후크	hu-keu	hk	hk	hook	100
네트	ne-teu	nt	nt	net	100
오아시스	o-a-si-seu	ss	ss	oasis	100
트위스트	teu-wi-seu-teu	twst	twst	twist	100
펌프	peom-peu	pmp	pmp	pump	100
와타나베	wa-ta-na-be	wtnb	wtnb	watanabe	100
오페라	o-pe-ra	pr	pr	opera	100
삼계탕	sam-gye-tang	smgytng	smgytng	samgyetang	100
아스피린	a-seu-pi-rin	sprn	sprn	aspirin	100
프라이드	peu-ra-i-deu	prd	prd	pride	100
스톤	seu-ton	stn	stn	stone	100
브리	beu-ri	br	br	brie	100
사케	sa-ke	sk	sk	sake	100
안단테	an-dan-te	ndnt	ndnt	andante	100
스테로이드	seu-te-ro-i-deu	strd	strd	steroid	100
스프링	seu-peu-ring	sprng	sprng	spring	100
지그	ji-geu	jg	jg	jig	100
스윙	seu-wing	swng	swng	swing	100
트레인	teu-re-in	trn	trn	train	100
프롬	peu-rom	prm	prm	prom	100
지프	ji-peu	jp	jp	jeep	100
감마	gam-ma	gmm	gmm	gamma	100
데이터베이스	de-i-teo-be-i-seu	dtbs	dtbs	database	100
허브	heo-beu	hb	hb	hub	100
베타	be-ta	bt	bt	beta	100
스푼	seu-pun	spn	spn	spoon	100
오보에	o-bo-e	b	b	oboe	100
판소리	pan-so-ri	pnsr	pnsr	pansori	100
겉절이	geot-jeor-i	gtjr	gtjr	geotjeori	100
타우	ta-u	t	t	tau	100
도파민	do-pa-min	dpmn	dpmn	dopamine	100
오로라	o-ro-ra	rr	rr	aurora	100
도핑	do-ping	dpng	dpng	doping	100
신문고	sin-mun-go	snmng	snmng	sinmungo	100
스트리밍	seu-teu-ri-ming	strmng	strmng	streaming	100
맘보	mam-bo	mmb	mmb	mambo	100
헤딩	he-ding	hdng	hdng	heading	100
오랑우탄	o-rang-u-tan	rngtn	rngtn	orangutan	100
스메타나	seu-me-ta-na	smtn	smtn	smetana	100
제트	je-teu	jt	jt	jet	100
사무라이	sa-mu-ra-i	smr	smr	samurai	100
와타	wa-ta	wt	wt	wata	100
부티	bu-ti	bt	bt	bootee	100
부메랑	bu-me-rang	bmrng	bmrng	boomerang	100
스모	seu-mo	sm	sm	sumo	100
하람	ha-ram	hrm	hrm	haram	100
프라임	peu-ra-im	prm	prm	prime	100
사쿠라	sa-ku-ra	skr	skr	sakura	100
트러스트	teu-reo-seu-teu	trst	trst	trust	100
에로스	e-ro-seu	rs	rs	eros	100
닌자	nin-ja	nnj	nnj	ninja	100
퉁소	tung-so	tngs	tngs	tungso	100
아트로핀	a-teu-ro-pin	trpn	trpn	atropine	100
파프리카	pa-peu-ri-ka	pprk	pprk	paprika	100
번트	beon-teu	bnt	bnt	bunt	100
삼바	sam-ba	smb	smb	samba	100
아고라	a-go-ra	gr	gr	agora	100
두마	du-ma	dm	dm	duma	100
프리온	peu-ri-on	prn	prn	prion	100
메가톤	me-ga-ton	mgtn	mgtn	megaton	100
스타디움	seu-ta-di-um	stdm	stdm	stadium	100
호른	ho-reun	hrn	hrn	horn	100
세로토닌	se-ro-to-nin	srtnn	srtnn	serotonin	100
로밍	ro-ming	rmng	rmng	roaming	100
머랭	meo-raeng	mrng	mrng	meringue	100
아가페	a-ga-pe	gp	gp	agape	100
텐던	ten-deon	tndn	tndn	tendon	100
토드	to-deu	td	td	tod	100
라미	ra-mi	rm	rm	ramie	100
텅스텐	teong-seu-ten	tngstn	tngstn	tungsten	100
너트	neo-teu	nt	nt	nut	100
스탬프	seu-taem-peu	stmp	stmp	stamp	100
배트	bae-teu	bt	bt	bat	100
아스파라거스	a-seu-pa-ra-geo-seu	sprgs	sprgs	asparagus	100
스팬	seu-paen	spn	spn	span	100
페스트	pe-seu-teu	pst	pst	pest	100
바냐	ba-nya	bny	bny	banya	100
프시	peu-si	ps	ps	psi	100
사롱	sa-rong	srng	srng	sarong	100
티라미수	ti-ra-mi-su	trms	trms	tiramisu	100
피스톤	pi-seu-ton	pstn	pstn	piston	100
타임스	ta-im-seu	tms	tms	times	100
모멘트	mo-men-teu	mmnt	mmnt	moment	100
안드로겐	an-deu-ro-gen	ndrgn	ndrgn	androgen	100
아데노신	a-de-no-sin	dnsn	dnsn	adenosine	100
론도	ron-do	rnd	rnd	rondo	100
웹사이트	web-sa-i-teu	wbst	wbst	website	100
지브	ji-beu	jb	jb	jib	100
펜타곤	pen-ta-gon	pntgn	pntgn	pentagon	100
에타	e-ta	t	t	eta	100
하바네라	ha-ba-ne-ra	hbnr	hbnr	habanera	100
트램	teu-raem	trm	trm	tram	100
타카	ta-ka	tk	tk	taka	100
와사비	wa-sa-bi	wsb	wsb	wasabi	100
에이프런	e-i-peu-reon	prn	prn	apron	100
아르곤	a-reu-gon	rgn	rgn	argon	100
헤파린	he-pa-rin	hprn	hprn	heparin	100
소나타	so-na-ta	snt	snt	sonata	100
아니메	a-ni-me	nm	nm	anime	100
덤핑	deom-ping	dmpng	dmpng	dumping	100
오타쿠	o-ta-ku	tk	tk	otaku	100
파고다	pa-go-da	pgd	pgd	pagoda	100
소바	so-ba	sb	sb	soba	100
트롬본	teu-rom-bon	trmbn	trmbn	trombone	100
카바	ka-ba	kb	kb	kaaba	100
파노라마	pa-no-ra-ma	pnrm	pnrm	panorama	100
타이가	ta-i-ga	tg	tg	taiga	100
카와이	ka-wa-i	kw	kw	kawaii	100
리바운드	ri-ba-un-deu	rbnd	rbnd	rebound	100
암모니아	am-mo-ni-a	mmn	mmn	ammonia	100
루틴	ru-tin	rtn	rtn	routine	100
파파야	pa-pa-ya	ppy	ppy	papaya	100
스프린트	seu-peu-rin-teu	sprnt	sprnt	sprint	100
테스토스테론	te-seu-to-seu-te-ron	tststrn	tststrn	testosterone	100
소프라노	so-peu-ra-no	sprn	sprn	soprano	100
무드	mu-deu	md	md	mood	100
메디아	me-di-a	md	md	media	100
유카타	yu-ka-ta	ykt	ykt	yukata	100
타르	ta-reu	tr	tr	tar	100
서스펜스	seo-seu-pen-seu	sspns	sspns	suspense	100
청심환	ceong-sim-hwan	cngsmhwn	chngsmhwn	cheongsimhwan	94
엔터테인먼트	en-teo-te-in-meon-teu	nttnmnt	ntrtnmnt	entertainment	93
노르에피네프린	no-reu-e-pi-ne-peu-rin	nrpnprn	nrpnphrn	norepinephrine	93
제임스본드	je-im-seu-bon-deu	jmsbnd	jms bnd	james bond	92
샌드위치	saen-deu-wi-ci	sndwc	sndwch	sandwich	91
스토킹	seu-to-king	stkng	stlkng	stalking	91
마케팅	ma-ke-ting	mktng	mrktng	marketing	91
스타킹	seu-ta-king	stkng	stckng	stocking	91
드레싱	deu-re-sing	drsng	drssng	dressing	91
고추장	go-cu-jang	gcjng	gchjng	gochujang	91
해프닝	hae-peu-ning	hpnng	hppnng	happening	91
에피네프린	e-pi-ne-peu-rin	pnprn	pnphrn	epinephrine	91
동치미	dong-ci-mi	dngcm	dngchm	dongchimi	91
헤밍웨이	he-ming-we-i	hmngw	hmngwy	hemingway	91
테러리스트	te-reo-ri-seu-teu	trrst	trrrst	terrorist	91
랭킹	raeng-king	rngkng	rnkng	ranking	91
마그네슘	ma-geu-ne-syum	mgnsym	mgnsm	magnesium	91
토너먼트	to-neo-meon-teu	tnmnt	trnmnt	tournament	91
신드롬	sin-deu-rom	sndrm	syndrm	syndrome	91
미니스커트	mi-ni-seu-keo-teu	mnskt	mnskrt	miniskirt	91
게르마늄	ge-reu-ma-nyum	grmnym	grmnm	germanium	91
스파링	seu-pa-ring	sprng	sprrng	sparring	91
트래킹	teu-rae-king	trkng	trckng	tracking	91
엔도르핀	en-do-reu-pin	ndrpn	ndrphn	endorphin	91
프롬프터	peu-rom-peu-teo	prmpt	prmptr	prompter	91
민준	min-jun	mnjn	mn jn	min joon	89
스트레스	seu-teu-re-seu	strs	strss	stress	89
시스템	si-seu-tem	sstm	systm	system	89
해킹	hae-king	hkng	hckng	hacking	89
웨딩	we-ding	wdng	wddng	wedding	89
마라톤	ma-ra-ton	mrtn	mrthn	marathon	89
챔피언	caem-pi-eon	cmpn	chmpn	champion	89
스폰서	seu-pon-seo	spns	spnsr	sponsor	89
해영	hae-yeong	hyng	h yng	hae young	89
펜션	pen-syeon	pnsyn	pnsn	pension	89
홍혜정	hong-hye-jeong	hnghyjng	hng hy jng	hong hye jung	89
조깅	jo-ging	jgng	jggng	jogging	89
브런치	beu-reon-ci	brnc	brnch	brunch	89
청주	ceong-ju	cngj	chngj	cheongju	89
히스테리	hi-seu-te-ri	hstr	hystr	hysteria	89
푸딩	pu-ding	pdng	pddng	pudding	89
에스프레소	e-seu-peu-re-so	sprs	sprss	espresso	89
남순	nam-sun	nmsn	nm sn	nam soon	89
타나토스	ta-na-to-seu	tnts	thnts	thanatos	89
프로세스	peu-ro-se-seu	prss	prcss	process	89
순천	sun-ceon	sncn	snchn	suncheon	89
트렌치	teu-ren-ci	trnc	trnch	trench	89
하이브리드	ha-i-beu-ri-deu	hbrd	hybrd	hybrid	89
햄스터	haem-seu-teo	hmst	hmstr	hamster	89
효린	hyo-rin	hyrn	hy rn	hyo rin	89
네트워크	ne-teu-weo-keu	ntwk	ntwrk	network	89
더빙	deo-bing	dbng	dbbng	dubbing	89
수퍼맨	su-peo-maen	spmn	sprmn	superman	89
팀워크	tim-weo-keu	tmwk	tmwrk	teamwork	89
레퍼토리	re-peo-to-ri	rptr	rprtr	repertoire	89
피라미드	pi-ra-mi-deu	prmd	pyrmd	pyramid	89
파트타임	pa-teu-ta-im	pttm	prttm	part-time	89
혜윤이	hye-yun-i	hyyn	hy yn	hye yoon	89
피스타치오	pi-seu-ta-ci-o	pstc	pstch	pistachio	89
마가린	ma-ga-rin	mgrn	mrgrn	margarine	89
비스무트	bi-seu-mu-teu	bsmt	bsmth	bismuth	89
패킹	pae-king	pkng	pckng	packing	89
프린터	peu-rin-teo	prnt	prntr	printer	89
챔피온	caem-pi-on	cmpn	chmpn	champion	89
다이너마이트	da-i-neo-ma-i-teu	dnmt	dynmt	dynamite	89
핸섬	haen-seom	hnsm	hndsm	handsome	89
스트라이커	seu-teu-ra-i-keo	strk	strkr	striker	89
트랜치	teu-raen-ci	trnc	trnch	trench	89
홈스테이	hom-seu-te-i	hmst	hmsty	homestay	89
워크맨	weo-keu-maen	wkmn	wlkmn	walkman	89
스타덤	seu-ta-deom	stdm	strdm	stardom	89
황수진	hwang-su-jin	hwngsjn	hwng s jn	hwang soo jin	88
멀티태스킹	meor-ti-tae-seu-king	mrttskng	mlttskng	multitasking	88
라면	ra-myeon	rmyn	rmn	ramen	86
인턴	in-teon	ntn	ntrn	intern	86
고스트	go-seu-teu	gst	ghst	ghost	86
멤버	mem-beo	mmb	mmbr	member	86
가든	ga-deun	gdn	grdn	garden	86
드레스	deu-re-seu	drs	drss	dress	86
태진	tae-jin	tjn	t jn	tae jin	86
빙고	bing-go	bngg	bng	bingo	86
망고	mang-go	mngg	mng	mango	86
시나리오	si-na-ri-o	snr	scnr	scenario	86
스토리	seu-to-ri	str	stry	story	86
넘버	neom-beo	nmb	nmbr	number	86
핑크	ping-keu	pngk	pnk	pink	86
스타트	seu-ta-teu	stt	strt	start	86
스튜디오	seu-tyu-di-o	styd	std	studio	86
송지혜	song-ji-hye	sngjhy	sng j hy	song ji hye	86
리포트	ri-po-teu	rpt	rprt	report	86
포스터	po-seu-teo	pst	pstr	poster	86
마스터	ma-seu-teo	mst	mstr	master	86
세미나	se-mi-na	smn	smnr	seminar	86
버튼	beo-teun	btn	bttn	button	86
브로커	beu-ro-keo	brk	brkr	broker	86
리본	ri-bon	rbn	rbbn	ribbon	86
테니스	te-ni-seu	tns	tnns	tennis	86
트레이너	teu-re-i-neo	trn	trnr	trainer	86
스피커	seu-pi-keo	spk	spkr	speaker	86
어시스트	eo-si-seu-teu	sst	ssst	assist	86
메모리	me-mo-ri	mmr	mmry	memory	86
펀치	peon-ci	pnc	pnch	punch	86
벤치	ben-ci	bnc	bnch	bench	86
탱크	taeng-keu	tngk	tnk	tank	86
윙크	wing-keu	wngk	wnk	wink	86
스커트	seu-keo-teu	skt	skrt	skirt	86
아몬드	a-mon-deu	mnd	lmnd	almond	86
안테나	an-te-na	ntn	ntnn	antenna	86
모던	mo-deon	mdn	mdrn	modern	86
탱고	taeng-go	tngg	tng	tango	86
스프레이	seu-peu-re-i	spr	spry	spray	86
레포트	re-po-teu	rpt	rprt	report	86
싱크	sing-keu	sngk	snk	sink	86
밍크	ming-keu	mngk	mnk	mink	86
센서	sen-seo	sns	snsr	sensor	86
범퍼	beom-peo	bmp	bmpr	bumper	86
리소토	ri-so-to	rst	rstt	risotto	86
패러디	pae-reo-di	prd	prdy	parody	86
그래프	geu-rae-peu	grp	grph	graph	86
윈도	win-do	wnd	wndw	window	86
스웨터	seu-we-teo	swt	swtr	sweater	86
스파크	seu-pa-keu	spk	sprk	spark	86
브로치	beu-ro-ci	brc	brch	brooch	86
점퍼	jeom-peo	jmp	jmpr	jumper	86
바통	ba-tong	btng	btn	baton	86
토스터	to-seu-teo	tst	tstr	toaster	86
파자마	pa-ja-ma	pjm	pjms	pajamas	86
멘토	men-to	mnt	mntr	mentor	86
브라우니	beu-ra-u-ni	brn	brwn	brownie	86
토네이도	to-ne-i-do	tnd	trnd	tornado	86
베이커리	be-i-keo-ri	bkr	bkry	bakery	86
사시미	sa-si-mi	ssm	sshm	sashimi	86
푸치니	pu-ci-ni	pcn	pccn	puccini	86
스파이더	seu-pa-i-deo	spd	spdr	spider	86
터번	teo-beon	tbn	trbn	turban	86
스나이퍼	seu-na-i-peo	snp	snpr	sniper	86
럭비	reog-bi	rgb	rgby	rugby	86
헤드기어	he-deu-gi-eo	hdg	hdgr	headgear	86
바게트	ba-ge-teu	bgt	bgtt	baguette	86
엠바고	em-ba-go	mbg	mbrg	embargo	86
신토	sin-to	snt	shnt	shinto	86
댐퍼	daem-peo	dmp	dmpr	damper	86
펌프스	peom-peu-seu	pmps	pmp	pump	86
메탄	me-tan	mtn	mthn	methane	86
레스토랑	re-seu-to-rang	rstrng	rstrnt	restaurant	83
신영	sin-yeong	snyng	shn yng	shin young	83
스마트폰	seu-ma-teu-pon	smtpn	smrtphn	smartphone	83
페퍼민트	pe-peo-min-teu	ppmnt	ppprmnt	peppermint	83
매니지먼트	mae-ni-ji-meon-teu	mnjmnt	mngmnt	management	83
프로그래머	peu-ro-geu-rae-meo	prgrm	prgrmmr	programmer	83
스펙트럼	seu-peg-teu-reom	spgtrm	spctrm	spectrum	83
육개장	yug-gae-jang	yggjng	ykgjng	yukgaejang	83
조윤진	jo-yun-jin	jynjn	j yn jn	jo yoon jin	83
베타카로틴	be-ta-ka-ro-tin	btkrtn	btcrtn	beta-carotene	83
콘도미니엄	kon-do-mi-ni-eom	kndmnm	cndmnm	condominium	83
엔지니어링	en-ji-ni-eo-ring	njnrng	ngnrng	engineering	83
웨딩드레스	we-ding-deu-re-seu	wdngdrs	wddng drss	wedding dress	82
킹덤호텔	king-deom-ho-ter	kngdmhtr	kngdm htl	kingdom hotel	82
거인	geo-in	gn	gnt	giant	80
키스	ki-seu	ks	kss	kiss	80
스타	seu-ta	st	str	star	80
사인	sa-in	sn	sgn	sign	80
기타	gi-ta	gt	gtr	guitar	80
미스	mi-seu	ms	mss	miss	80
프로젝트	peu-ro-jeg-teu	prjgt	prjct	project	80
보스	bo-seu	bs	bss	boss	80
스파이	seu-pa-i	sp	spy	spy	80
하트	ha-teu	ht	hrt	heart	80
빌딩	bir-ding	brdng	bldng	building	80
패스	pae-seu	ps	pss	pass	80
미터	mi-teo	mt	mtr	meter	80
메뉴	me-nyu	mny	mn	menu	80
우동	u-dong	dng	dn	udon	80
로맨틱	ro-maen-tig	rmntg	rmntc	romantic	80
갈비	gar-bi	grb	rb	rib	80
가운	ga-un	gn	gwn	gown	80
레이더	re-i-deo	rd	rdr	radar	80
햄버거	haem-beo-geo	hmbg	hmbrgr	hamburger	80
다인	da-in	dn	dyn	dyne	80
파트	pa-teu	pt	prt	part	80
브리핑	beu-ri-ping	brpng	brfng	briefing	80
암말	am-mar	mmr	mr	mare	80
스파게티	seu-pa-ge-ti	spgt	spghtt	spaghetti	80
달링	dar-ring	drrng	drlng	darling	80
스탠바이	seu-taen-ba-i	stnb	stndby	standby	80
소나	so-na	sn	snr	sonar	80
보드	bo-deu	bd	brd	board	80
최영이	coe-yeong-i	cyng	ch yng	choi young	80
루비	ru-bi	rb	rby	ruby	80
미스테리	mi-seu-te-ri	mstr	mystry	mystery	80
터치	teo-ci	tc	tch	touch	80
파워	pa-weo	pw	pwr	power	80
아이러니	a-i-reo-ni	rn	rny	irony	80
타워	ta-weo	tw	twr	tower	80
비빔밥	bi-bim-bab	bbmbb	bbmbp	bibimbap	80
파마	pa-ma	pm	prm	perm	80
포트	po-teu	pt	prt	port	80
태권도	tae-gweon-do	tgwnd	tkwnd	taekwondo	80
시트	si-teu	st	sht	sheet	80
웨이터	we-i-teo	wt	wtr	waiter	80
스파	seu-pa	sp	spr	spar	80
테마	te-ma	tm	thm	theme	80
튜브	tyu-beu	tyb	tb	tube	80
가드	ga-deu	gd	grd	guard	80
푸시	pu-si	ps	psh	push	80
비비	bi-bi	bb	bbn	baboon	80
보디가드	bo-di-ga-deu	bdgd	bdygrd	bodyguard	80
갈대	gar-dae	grd	rd	reed	80
캠핑	kaem-ping	kmpng	cmpng	camping	80
인치	in-ci	nc	nch	inch	80
매스	mae-seu	ms	mss	mass	80
하이에나	ha-i-e-na	hn	hyn	hyena	80
체인	ce-in	cn	chn	chain	80
오뎅	o-deng	dng	dn	oden	80
대시	dae-si	ds	dsh	dash	80
트럼펫	teu-reom-pes	trmps	trmpt	trumpet	80
라이더	ra-i-deo	rd	rdr	rider	80
무스	mu-seu	ms	mss	mousse	80
스시	seu-si	ss	ssh	sushi	80
포커	po-keo	pk	pkr	poker	80
미스터리	mi-seu-teo-ri	mstr	mystry	mystery	80
모터	mo-teo	mt	mtr	motor	80
고뇌	go-noe	gn	gny	agony	80
워드	weo-deu	wd	wrd	word	80
아토피	a-to-pi	tp	tpy	atopy	80
미사	mi-sa	ms	mss	mass	80
히터	hi-teo	ht	htr	heater	80
카메라맨	ka-me-ra-maen	kmrmn	cmrmn	cameraman	80
피싱	pi-sing	psng	phshng	phishing	80
이스트	i-seu-teu	st	yst	yeast	80
와이퍼	wa-i-peo	wp	wpr	wiper	80
겜블러	gem-beur-reo	gmbrr	gmblr	gambler	80
슈트	syu-teu	syt	st	suit	80
비데	bi-de	bd	bdt	bidet	80
에어백	e-eo-baeg	bg	rbg	airbag	80
파우치	pa-u-ci	pc	pch	pouch	80
파카	pa-ka	pk	prk	parka	80
매트리스	mae-teu-ri-seu	mtrs	mttrss	mattress	80
인트라넷	in-teu-ra-nes	ntrns	ntrnt	intranet	80
하프	ha-peu	hp	hrp	harp	80
야드	ya-deu	yd	yrd	yard	80
해시	hae-si	hs	hsh	hash	80
펭귄	peng-gwin	pnggwn	pngn	penguin	80
라드	ra-deu	rd	lrd	lard	80
조커	jo-keo	jk	jkr	joker	80
봉봉	bong-bong	bngbng	bnbn	bonbon	80
잉크	ing-keu	ngk	nk	ink	80
바텐더	ba-ten-deo	btnd	brtndr	bartender	80
그레이	geu-re-i	gr	gry	gray	80
스페어	seu-pe-eo	sp	spr	spare	80
보디	bo-di	bd	bdy	body	80
매희	mae-heui	mh	m h	mae hee	80
리팜핀	ri-pam-pin	rpmpn	rfmpn	rifampin	80
절편	jeor-pyeon	jrpyn	jlpyn	jeolpyeon	80
레게	re-ge	rg	rgg	reggae	80
바이트	ba-i-teu	bt	byt	byte	80
버디	beo-di	bd	brd	birdie	80
망간	mang-gan	mnggn	mngns	manganese	80
데크	de-keu	dk	dck	deck	80
포타슘	po-ta-syum	ptsym	ptssm	potassium	80
인스턴스	in-seu-teon-seu	nstns	nstnc	instance	80
로치	ro-ci	rc	rch	roach	80
시소	si-so	ss	ssw	seesaw	80
브래지어	beu-rae-ji-eo	brj	br	bra	80
스퍼	seu-peo	sp	spr	spur	80
디코딩	di-ko-ding	dkdng	dcdng	decoding	80
래프팅	rae-peu-ting	rptng	rftng	rafting	80
윈드서핑	win-deu-seo-ping	wndspng	wndsrfng	windsurfing	80
배로	bae-ro	br	brd	aboard	80
퓌레	pwi-re	pwr	pr	puree	80
트레이싱	teu-re-i-sing	trsng	trcng	tracing	80
피칭	pi-cing	pcng	ptchng	pitching	80
